CODE,Slide,Cross,Decay,Pathogen,Hyphae,None.Path,,Arbuscules,Vesicles,M_Hyphae,None.Myc,,Herbivory,None.Herb,,notes
,2,21,1,,,,,,,,1,,,1,,
,2,22,,,1,,,1,,,,,,1,,
,2,23,,,1,,,,,,1,,,1,,
,2,24,,,1,,,,,1,,,,1,,
,2,25,,,1,,,,,1,,,1,,,
,2,26,,,1,,,,,,1,,,1,,
,2,27,,,1,,,,,1,,,,1,,
,2,28,,,1,,,,,,1,,,1,,
,2,29,1,,,,,,,,1,,1,,,
,2,30,,,1,,,,,1,,,,1,,
,2,31,,,1,,,,,,1,,,1,,
,2,32,,,1,,,,,1,,,,1,,
,2,33,,,1,,,,,,1,,,1,,
,2,34,,,1,,,,,1,,,,1,,
,2,35,,,1,,,,,1,,,,1,,
,2,36,,,1,,,,,,1,,,1,,
,2,37,,,1,,,,,1,,,,1,,
,2,38,,,1,,,,,1,,,,1,,
,3,1,,,1,,,,,1,,,,1,,
,3,2,,,1,,,,,,1,,,1,,
,3,3,,,1,,,,,1,,,,1,,
,3,4,,,1,,,,,1,,,,1,,
,3,5,,,1,,,,,1,,,,1,,
,3,6,1,,,,,,,,1,,,1,,
,3,7,,,1,,,,,1,,,,1,,
,3,8,,,1,,,,,1,,,,1,,
,3,9,,,,1,,,,,1,,,1,,
,3,10,,,,1,,,,,1,,,1,,
,3,11,,,1,,,,,1,,,,1,,
,3,12,,,1,,,,,1,,,,1,,
,3,13,,,1,,,,,1,,,,1,,
,3,14,,,,1,,,,1,,,,1,,
,3,15,,,1,,,,,,1,,,1,,
,3,16,,,1,,,,,,1,,,1,,
,3,17,,,,1,,,,1,,,,1,,
,3,18,,,,1,,,,1,,,,1,,
,3,19,,,,1,,,,,1,,,1,,
,3,20,,,,1,,,,,1,,,1,,
,3,21,,,1,,,,,,1,,,1,,
,3,22,,,1,,,,,,1,,,1,,
,3,23,,,,1,,,,1,,,,1,,
,3,24,,,1,,,,,1,,,,1,,
,3,25,,,1,,,,,1,,,,1,,
,3,26,,,,1,,,,,1,,,1,,
,3,27,,,1,,,,,,1,,,1,,
,3,28,,,1,,,1,,,,,,1,,
,3,29,,,1,,,,,1,,,,1,,
,3,30,,,1,,,,,,1,,,1,,
,slide 1 total,,4,0,22,6,,4,4,4,4,,4,4,,
,slide 2 total,,4,0,29,5,,2,0,19,17,,3,35,,
,stide 3 total,,1,0,20,9,,1,1,1,1,,1,1,,
,TOTAL,,9,0,71,20,,3,1,48,48,,3,97,,
11OSC2,1,1,,,1,,,,,,1,,,1,,
,1,2,,,1,,,,,,1,,,1,,
,1,3,,,1,,,,,,1,,,1,,
,1,4,,,1,,,,,,1,,,1,,
,1,5,,,1,,,,,1,,,,1,,
,1,6,,,,1,,,,,1,,,1,,
,1,7,1,,,,,,,,1,,,1,,
,1,8,,,1,,,,,1,,,,1,,
,1,9,,,,1,,,,,1,,,1,,
,1,10,,,1,,,,,1,,,,1,,
,1,11,,,1,,,,,,1,,1,,,
,1,12,,,1,,,,,,1,,,1,,
,1,13,,,1,,,,,1,,,,1,,
,1,14,,,1,,,,,1,,,1,,,
,1,15,,,1,,,,,1,,,,1,,
,1,16,,,,1,,,,,1,,,1,,
,1,17,,,1,,,,,,1,,,1,,
,1,18,,,1,,,,,,1,,1,,,
,1,19,,,1,,,,,,1,,,1,,
,1,20,,,1,,,,,1,,,,1,,
,1,21,,,1,,,,1,,,,,1,,
,1,22,1,,,,,,,1,,,,1,,
,1,23,,,1,,,,,1,,,,1,,
,1,24,1,,,,,,,,1,,,1,,
,1,25,,,1,,,,,,1,,,1,,
,1,26,,,,1,,,,1,,,,1,,
,1,27,,,1,,,,,1,,,,1,,
,1,28,1,,,,,,,1,,,,1,,
,1,29,,,1,,,,,1,,,,1,,
,1,30,1,,,,,1,,,,,,1,,
,1,31,,,1,,,,,1,,,,1,,
,1,32,,,1,,,,,,1,,,1,,
,1,33,,,1,,,,,,1,,,1,,
,1,34,,,1,,,,,,1,,,1,,
,1,35,,,,1,,,,,1,,,1,,
,1,36,,,1,,,,,1,,,,1,,
,1,37,,,1,,,,,,1,,,1,,
,1,38,,,1,,,,,,1,,,1,,
,1,39,,,1,,,,,,1,,,1,,
,1,40,,,1,,,,,1,,,,1,,
,1,41,,,1,,,,,1,,,,1,,
,1,42,,,1,,,1,,,,,,1,,
,1,43,,,1,,,,,1,,,,1,,
,1,44,,,1,,,,,,1,,,1,,
,1,45,,,1,,,,,,1,,,1,,
,1,46,,,1,,,1,,,,,,1,,
,2,1,,,1,,,,,1,,,1,,,
,2,2,,,1,,,,,1,,,,1,,
,2,3,,,1,,,1,,,,,,1,,
,2,4,,,1,,,1,,,,,,1,,
,2,5,,,1,,,,,1,,,,1,,
,2,6,1,,,,,,,1,,,1,,,
,2,7,,,1,,,,,,1,,,1,,
,2,8,,,1,,,,1,,,,,1,,
,2,9,,,1,,,,,1,,,,1,,
,2,10,,,1,,,,,1,,,,1,,
,2,11,1,,,,,,,,1,,,1,,
,2,12,,,1,,,,,1,,,,1,,
,2,13,,,1,,,,,1,,,,1,,
,2,14,,,1,,,,,1,,,1,,,
,2,15,1,,,,,,,1,,,1,,,
,2,16,1,,,,,,,1,,,1,,,
,2,17,,,1,,,,,1,,,,1,,
,2,18,,,1,,,,,1,,,,1,,
,2,19,,,1,,,,,,1,,,1,,
,2,20,,,1,,,,,,1,,,1,,
,2,21,,,1,,,,,1,,,,1,,
,2,22,,,1,,,1,,,,,,1,,
,2,23,1,,,,,,,,1,,,1,,
,2,24,,,1,,,,,,1,,,1,,
,2,25,,,1,,,,,,1,,,1,,
,2,26,,,1,,,,,1,,,,1,,
,2,27,,,1,,,,,,1,,,1,,
,2,28,1,,,,,,,1,,,,1,,
,3,1,,,1,,,,,,1,,,1,,
,3,2,,,1,,,,,,1,,,1,,
,3,3,,,1,,,,,,1,,,1,,
,3,4,,,1,,,,,1,,,,1,,
,3,5,,,1,,,,,,1,,,1,,
,3,6,,,1,,,,1,,,,,1,,
,3,7,1,,,,,,1,,,,,1,,
,3,8,1,,,,,,,1,,,1,,,
,3,9,,,1,,,1,,,,,,1,,
,3,10,,,1,,,,,1,,,,1,,
,3,11,,,1,,,,,1,,,,1,,
,3,12,,,1,,,1,,,,,1,,,
,3,13,1,,,,,,,1,,,,1,,
,3,14,,,1,,,,,1,,,1,,,
,3,15,,,1,,,,,1,,,,1,,
,3,16,,,1,,,,,,1,,,1,,
,3,17,,,1,,,,,,1,,,1,,
,3,18,,,1,,,,,1,,,,1,,
,3,19,,,1,,,,,,1,,,1,,
,3,20,,,1,,,,,1,,,,1,,
,3,21,,,1,,,,1,,,,,1,,
,3,22,,,1,,,,,,1,,,1,,
,3,23,1,,,,,,1,,,,,1,,
,3,24,1,,,,,,1,,,,1,,,
,3,25,1,,,,,,,,1,,,1,,
,3,26,,,1,,,,,,1,,1,,,
,Total slide 1,,5,0,36,5,,3,1,18,24,,3,43,,
,Total slide 2,,6,0,22,0,,3,1,16,8,,5,23,,
,Total slide 3,,6,0,20,0,,2,5,9,10,,5,21,,
,TOTAL,,17,0,78,5,,8,7,43,42,,13,87,,
10OSC3,3,1,,,1,,,,,1,,,,1,,
,3,2,,,1,,,,,1,,,1,,,
,3,3,,,1,,,,1,,,,,1,,
,3,4,1,,,,,,,1,,,,1,,
,3,5,1,,,,,,,1,,,,1,,
,3,6,1,,,,,,,,1,,,1,,
,3,7,,,1,,,,,1,,,,1,,
,3,8,,,1,,,,1,,,,,1,,
,3,9,1,,,,,,,1,,,,1,,
,3,10,,1,,,,,,1,,,,1,,
,3,11,,1,,,,,,1,,,,1,,
,3,12,,,1,,,,1,,,,,1,,
,3,13,,,1,,,,,1,,,,1,,
,3,14,,,1,,,,,,1,,,1,,
,3,15,,1,,,,,,1,,,1,,,
,3,16,,,1,,,,,1,,,,1,,
,3,17,1,,,,,,,1,,,,1,,
,3,18,,,1,,,,,1,,,,1,,
,3,19,,,1,,,,,1,,,,1,,
,3,20,1,,,,,,1,,,,,1,,
,3,21,1,,,,,,,1,,,,1,,
,3,22,1,,,,,,,,1,,,1,,
,3,23,,1,,,,,1,,,,1,,,
,3,24,,1,,,,,,1,,,1,,,
,3,25,1,,,,,,1,,,,,1,,
,3,26,,,1,,,,,1,,,,1,,
,3,27,1,,,,,,,1,,,,1,,
,3,28,,,1,,,,,1,,,,1,,
,3,29,1,,,,,,,1,,,,1,,
,3,30,,,1,,,,1,,,,1,,,
,2,1,1,,,,,,,1,,,1,,,
,2,2,,1,,,,,,1,,,1,,,
,2,3,,,1,,,,,,1,,,1,,
,2,4,1,,,,,,,1,,,,1,,
,2,5,1,,,,,,,,1,,1,,,
,2,6,,,,1,,,,,1,,,1,,
,2,7,1,,,,,,,1,,,,1,,
,2,8,1,,,,,,,1,,,1,,,
,2,9,,,,1,,,,1,,,,1,,
,2,10,,,1,,,,,1,,,,1,,
,2,11,1,,,,,,,1,,,,1,,
,2,12,,,,1,,,,1,,,,1,,
,2,13,,,1,,,,,,1,,,1,,
,2,14,1,,,,,,,,1,,1,,,
,2,15,,,1,,,,,,1,,1,,,
,2,16,1,,,,,,,1,,,1,,,
,2,17,,,1,,,,,,1,,,1,,
,1,1,,,1,,,,,1,,,,1,,
,1,2,,,1,,,,,1,,,,1,,
,1,3,,,1,,,,,,1,,,1,,
,1,4,,,1,,,,1,,,,,1,,
,1,5,,,1,,,,,1,,,,1,,
,1,6,,,,1,,,1,,,,,1,,
,1,7,,,1,,,,,,1,,1,,,
,1,8,,,1,,,,,,1,,1,,,
,1,9,,,1,,,,,1,,,,1,,
,1,10,,1,,,,,,1,,,,1,,
,1,11,,,1,,,,,,1,,,1,,
,1,12,,1,,,,,,1,,,,1,,
,1,13,,,1,,,,,,1,,,1,,
,1,14,,,1,,,,,1,,,,1,,
,1,15,,,1,,,,,,1,,,1,,
,1,16,1,,,,,,,1,,,,1,,
,1,17,1,,,,,,,1,,,1,,,
,1,18,,,1,,,,,1,,,1,,,
,1,19,1,,,,,,1,,,,,1,,
,1,20,,1,,,,,,1,,,,1,,
,1,21,,,1,,,,,1,,,,1,,
,1,22,,,1,,,,,1,,,,1,,
,1,23,,,1,,,,,,1,,1,,,
,1,24,,,1,,,,1,,,,1,,,
,1,25,1,,,,,,1,,,,,1,,
,1,26,1,,,,,,,,1,,,1,,
,1,27,1,,,,,,,,1,,,1,,
,1,28,1,,,,,,,1,,,,1,,
,1,29,,,1,,,,1,,,,1,,,
,1,30,,,1,,,,,1,,,1,,,
,1,31,,,1,,,,,1,,,,1,,
,1,32,1,,,,,,,,1,,,1,,
,1,33,,,1,,,,,,1,,,1,,
,1,34,,1,,,,,,1,,,,1,,
,1,35,,1,,,,,,,1,,,1,,
,1,36,,,1,,,,1,,,,,1,,
,1,37,,,1,,,,,,1,,,1,,
,1,38,1,,,,,,,,1,,,1,,
,1,39,,1,,,,,1,,,,,1,,
,1,40,,,1,,,,1,,,,,1,,
,1,41,,,1,,,,,1,,,,1,,
,1,42,1,,,,,,,,1,,,1,,
,1,43,,,1,,,,,1,,,,1,,
,1,44,,,1,,,,1,,,,,1,,
,1,45,,1,,,,,1,,,,,1,,
,1,46,,,1,,,,1,,,,1,,,
,1,47,1,,,,,,,1,,,,1,,
,1,48,,,1,,,,,1,,,,1,,
,1,49,1,,,,,,,1,,,,1,,
,1,50,1,,,,,,,,1,,,1,,
,1,51,1,,,,,,,,1,,1,,,
,1,52,,,1,,,,1,,,,1,,,
,1,53,,,1,,,,,1,,,,1,,
,TOTAL,,33,13,50,4,,0,20,53,27,,23,77,,
,Total slide 1,,14,7,31,1,,0,13,23,17,,11,42,,
,Total slide 2,,8,1,5,3,,0,0,10,7,,7,10,,
,Total slide 3,,11,5,14,0,,0,7,20,3,,5,25,,
10OSC2,1,1,,,1,,,,,1,,,,1,,
,1,2,1,,,,,,,1,,,1,,,
,1,3,1,,,,,,,1,,,,1,,
,1,4,,1,,,,,,1,,,,1,,
,1,5,1,,,,,,,,1,,,1,,
,1,6,,1,,,,,,,1,,1,,,
,1,7,1,,,,,,,,1,,,1,,
,1,8,,,1,,,,,,1,,,1,,
,1,9,1,,,,,,,1,,,,1,,
,1,10,,,1,,,,,1,,,,1,,
,1,11,,,1,,,,,,1,,1,,,
,1,12,,,1,,,,,,1,,1,,,
,1,13,1,,,,,,,1,,,,1,,
,1,14,1,,,,,,,1,,,,1,,
,1,15,,,1,,,,,,1,,,1,,
,1,16,,,1,,,,,,1,,,1,,
,1,17,,,,1,,,,,1,,,1,,
,1,18,,,1,,,,,,1,,,1,,
,1,19,,,1,,,,,,1,,1,,,
,1,20,1,,,,,,,1,,,1,,,
,1,21,,,1,,,,,1,,,1,,,
,1,22,1,,,,,,,1,,,,1,,
,1,23,,1,,,,,1,,,,,1,,
,1,24,,,1,,,,1,,,,,1,,
,1,25,,,1,,,,,,1,,1,,,
,1,26,,,1,,,,,1,,,,1,,
,1,27,,,,1,,,,1,,,,1,,
,1,28,1,,,,,,,1,,,1,,,
,1,29,1,,,,,,,1,,,,1,,
,1,30,1,,,,,,,1,,,1,,,
,1,31,,,,1,,,,,1,,1,,,
,1,32,,,1,,,,,,1,,,1,,
,1,33,,1,,,,,,1,,,1,,,
,1,34,1,,,,,,,1,,,,1,,
,1,35,,,1,,,,,1,,,,1,,
,1,36,1,,,,,,,,1,,1,,,
,1,37,,,1,,,,,,1,,1,,,
,1,38,1,,,,,,,,1,,1,,,
,1,39,,,1,,,,,,1,,,1,,
,1,40,,,1,,,,1,,,,1,,,
,2,1,,,,1,,,1,,,,,1,,
,2,2,,,,1,,,1,,,,,1,,
,2,3,,,1,,,,1,,,,,1,,
,2,4,,,,1,,,1,,,,,1,,
,2,5,,,,1,,,,1,,,,1,,
,2,6,,,,1,,,,,1,,,1,,
,2,7,,,,1,,,,,1,,,1,,
,2,8,1,,,,,,,1,,,1,,,
,2,9,,,1,,,,,1,,,,1,,
,2,10,,,,1,,,1,,,,,1,,
,2,11,,1,,,,,1,,,,,1,,
,2,12,,,1,,,,,1,,,,1,,
,2,13,,,1,,,,,1,,,,1,,
,2,14,,,1,,,,,,1,,,1,,
,2,15,,,1,,,,,1,,,,1,,
,2,16,,,1,,,,,1,,,,1,,
,2,17,,,,1,,,1,,,,,1,,
,2,18,,,1,,,,1,,,,,1,,
,2,19,,,1,,,,,1,,,1,,,
,2,20,,,1,,,,,1,,,,1,,
,2,21,,,,1,,,,1,,,1,,,
,2,22,,,,1,,,,1,,,,1,,
,2,23,1,,,,,,,1,,,,1,,
,2,24,1,,,,,,1,,,,,1,,
,2,25,1,,,,,,,1,,,,1,,
,2,26,,,1,,,,,,1,,,1,,
,2,27,,,1,,,,,1,,,,1,,
,2,28,,1,,,,,,1,,,,1,,
,2,29,,,1,,,,1,,,,,1,,
,2,30,,,1,,,,,1,,,,1,,
,2,31,,,1,,,,,1,,,,1,,
,2,32,,,1,,,,,,1,,,1,,
,2,33,,,,1,,,1,,,,,1,,
,3,1,,,1,,,,,1,,,,1,,
,3,2,,,1,,,,,,1,,1,,,
,3,3,,,1,,,,,1,,,,1,,
,3,4,,,,1,,,,1,,,1,,,
,3,5,1,,,,,,,,1,,,1,,
,3,6,1,,,,,,,1,,,,1,,
,3,7,,,1,,,,,1,,,,1,,
,3,8,,,1,,,,1,,,,,1,,
,3,9,1,,,,,,1,,,,,1,,
,3,10,,,1,,,,,1,,,,1,,
,3,11,,,1,,,,,,1,,1,,,
,3,12,1,,,,,,,1,,,1,,,
,3,13,1,,,,,,,1,,,,1,,
,3,14,,,1,,,,1,,,,,1,,
,3,15,,,1,,,,,1,,,,1,,
,3,16,,,1,,,,,,1,,,1,,
,3,17,,,1,,,,1,,,,,1,,
,3,18,1,,,,,,,1,,,,1,,
,3,19,,,1,,,,,1,,,,1,,
,3,20,,,1,,,,,1,,,,1,,
,3,21,1,,,,,,,1,,,,1,,
,3,22,1,,,,,,,,1,,,1,,
,3,23,,1,,,,,,1,,,,1,,
,3,24,,,1,,,,,1,,,1,,,
,3,25,,,1,,,,,,1,,,1,,
,3,26,,,1,,,,1,,,,,1,,
,3,27,1,,,,,,1,,,,1,,,
,Total slide 1,,15,4,18,3,,0,3,19,18,,16,24,,
,Total slide 2,,4,2,16,11,,0,11,17,5,,3,30,,
,Total slide 3,,9,1,16,1,,0,6,15,6,,6,21,,
,TOTAL,,28,7,50,15,,0,20,51,29,,25,75,,
10ISC3,1,1,,,1,,,,,,1,,1,,,
,1,2,1,,,,,,,1,,,1,,,
,1,3,,,1,,,,,,1,,,1,,
,1,4,,,1,,,,,1,,,,1,,
,1,5,,,1,,,,,,1,,,1,,
,1,6,,,1,,,,,1,,,,1,,
,1,7,,,1,,,,,,1,,,1,,
,1,8,,,,1,,,,,1,,1,,,
,1,9,,,,1,,,,,1,,,1,,
,1,10,1,,,,,,,1,,,,1,,
,1,11,,,1,,,,,,1,,,1,,
,1,12,1,,,,,,,1,,,1,,,
,1,13,,,1,,,,,1,,,,1,,
,1,14,,,1,,,,,,1,,1,,,
,1,15,,,1,,,,,,1,,1,,,
,1,16,,,1,,,,,1,,,1,,,
,1,17,,,1,,,,,,1,,,1,,
,1,18,,,1,,,,,,1,,,1,,
,1,19,,,1,,,,,1,,,1,,,
,1,20,,,1,,,,,,1,,,1,,
,1,21,,,,1,,,,,1,,,1,,
,1,22,1,,,,,,,1,,,,1,,
,1,23,,,1,,,,,1,,,,1,,
,1,24,1,,,,,,,,1,,,1,,
,1,25,,,1,,,,,,1,,,1,,
,1,26,,,1,,,,,,1,,1,,,
,1,27,,,,1,,,,1,,,,1,,
,1,28,,,1,,,,,,1,,,1,,
,1,29,,,1,,,,,,1,,,1,,
,1,30,1,,,,,,,1,,,,1,,
,1,31,,,,1,,,,,1,,,1,,
,1,32,,,1,,,,,1,,,,1,,
,1,33,,,1,,,,,,1,,,1,,
,1,34,,,1,,,,,1,,,,1,,
,1,35,1,,,,,,,,1,,,1,,
,2,1,,,,1,,,,,1,,,1,,
,2,2,,,1,,,,,,1,,,1,,
,2,3,,,1,,,,,1,,,,1,,
,2,4,,,1,,,,,,1,,,1,,
,2,5,,,1,,,,,1,,,,1,,
,2,6,,,1,,,,,1,,,,1,,
,2,7,1,,,,,,,1,,,1,,,
,2,8,1,,,,,,,,1,,,1,,
,2,9,,,1,,,,,,1,,,1,,
,2,10,,,,1,,,,1,,,,1,,
,2,11,,,1,,,,,1,,,,1,,
,2,12,1,,,,,,,,1,,,1,,
,2,13,,,1,,,,,,1,,,1,,
,2,14,,,1,,,,,1,,,1,,,
,2,15,,,1,,,,1,,,,,1,,
,2,16,,,1,,,,,1,,,,1,,
,2,17,,,1,,,,,1,,,1,,,
,2,18,1,,,,,,1,,,,,1,,
,2,19,,,,1,,,,,1,,1,,,
,2,20,,,1,,,,,,1,,1,,,
,2,21,,,,1,,,,,1,,,1,,
,2,22,,,,1,,,,,1,,1,,,
,2,23,,,1,,,,,,1,,,1,,
,2,24,1,,,,,,,1,,,,1,,
,2,25,,,1,,,,,,1,,,1,,
,2,26,,,1,,,,,,1,,,1,,
,2,27,1,,,,,,,,1,,,1,,
,2,28,,,,1,,,,,1,,,1,,
,2,29,,,,1,,,,,1,,1,,,
,2,30,,1,,,,,,,1,,1,,,
,2,31,,,1,,,,,,1,,,1,,
,2,32,,,1,,,,,,1,,,1,,
,2,33,,,1,,,,,1,,,1,,,
,3,1,1,,,,,,,1,,,,1,,
,3,2,,,1,,,,,,1,,1,,,
,3,3,,,1,,,,,1,,,1,,,
,3,4,,,1,,,,,1,,,1,,,
,3,5,,,1,,,,,,1,,1,,,
,3,6,1,,,,,,,1,,,1,,,
,3,7,,,1,,,,,1,,,1,,,
,3,8,,,,1,,,,,1,,1,,,
,3,9,,,1,,,,,,1,,1,,,
,3,10,,1,,,,,1,,,,1,,,
,3,11,1,,,,,,,,1,,1,,,
,3,12,,,1,,,,,,1,,,1,,
,3,13,,,,1,,,,,1,,1,,,
,3,14,,,1,,,,,,1,,1,,,
,3,15,,,1,,,,,,1,,,1,,
,3,16,,,1,,,,,,1,,,1,,
,3,17,,,1,,,,,,1,,1,,,
,3,18,,,1,,,,,,1,,1,,,
,3,19,,,1,,,,,,1,,,1,,
,3,20,,,1,,,,,1,,,,1,,
,3,21,1,,,,,,,1,,,,1,,
,3,22,,,1,,,,,1,,,,1,,
,3,23,,,1,,,,,,1,,1,,,
,3,24,1,,,,,,,,1,,1,,,
,3,25,,,1,,,,,1,,,1,,,
,3,26,,,1,,,,,1,,,1,,,
,3,27,,,1,,,,,,1,,,1,,
,3,28,,,1,,,,,,1,,,1,,
,3,29,,,1,,,,,1,,,1,,,
,3,30,,,1,,,,,1,,,1,,,
,3,31,,,1,,,,,1,,,,1,,
,3,32,,,1,,,,,1,,,,1,,
,Total slide 1,,7,0,23,5,,0,0,14,21,,9,26,,
,Total slide 2,,6,1,19,7,,0,2,11,20,,9,24,,
,Total slide 3,,5,1,24,2,,0,1,14,17,,20,12,,
,TOTAL,,18,2,66,14,,0,3,39,58,,38,62,,
11OSC3,1,1,,,,1,,,1,,,,,1,,
,1,2,,,1,,,,,1,,,,1,,
,1,3,1,,,,,,,1,,,,1,,
,1,4,,,,1,,1,,,,,,1,,
,1,5,,,1,,,,,1,,,,1,,
,1,6,,,1,,,,,1,,,,1,,
,1,7,,,1,,,,1,,,,,1,,
,1,8,1,,,,,,,1,,,,1,,
,1,9,,,1,,,,,1,,,,1,,
,1,10,1,,,,,,,1,,,,1,,
,1,11,,,,1,,,1,,,,,1,,
,1,12,1,,,,,,1,,,,,1,,
,1,13,,,1,,,,,1,,,,1,,
,1,14,1,,,,,,,1,,,,1,,
,1,15,1,,,,,,1,,,,,1,,
,1,16,,,1,,,,,1,,,1,,,
,1,17,1,,,,,,1,,,,,1,,
,1,18,,,1,,,,1,,,,1,,,
,1,19,1,,,,,,,1,,,,1,,
,1,20,,,1,,,,,1,,,,1,,
,1,21,,,1,,,,1,,,,1,,,
,1,22,,,1,,,,,1,,,,1,,
,1,23,,,1,,,,,1,,,1,,,
,1,24,1,,,,,,,1,,,,1,,
,1,25,,,1,,,1,,,,,,1,,
,1,26,,,1,,,,,1,,,1,,,
,1,27,1,,,,,,,1,,,,1,,
,1,28,,,,1,,,1,,,,,1,,
,1,29,,,1,,,,,1,,,,1,,
,1,30,,,1,,,,1,,,,1,,,
,1,31,,,1,,,,1,,,,1,,,
,1,32,,,,1,,,1,,,,1,,,
,1,33,,,1,,,,,1,,,,1,,
,2,1,,,1,,,,,1,,,,1,,
,2,2,,,,1,,,,1,,,1,,,
,2,3,,,,1,,,,1,,,1,,,
,2,4,,,,1,,,,1,,,,1,,
,2,5,1,,,,,,,1,,,,1,,
,2,6,,,1,,,,1,,,,,1,,
,2,7,,1,,,,,1,,,,1,,,
,2,8,,,,1,,,1,,,,1,,,
,2,9,,,1,,,,,1,,,,1,,
,2,10,,,1,,,,1,,,,,1,,
,2,11,1,,,,,,,1,,,,1,,
,2,12,1,,,,,,,1,,,,1,,
,2,13,,,1,,,,1,,,,1,,,
,2,14,,,1,,,,,1,,,1,,,
,2,15,,1,,,,,,1,,,,1,,
,2,16,,1,,,,,1,,,,,1,,
,2,17,,,,1,,,,1,,,1,,,
,2,18,,,,1,,,1,,,,1,,,
,2,19,,,1,,,,,1,,,,1,,
,2,20,,1,,,,,1,,,,1,,,
,2,21,,,1,,,,,1,,,,1,,
,2,22,,,1,,,,1,,,,1,,,
,2,23,,,1,,,,,1,,,,1,,
,2,24,,,1,,,,1,,,,1,,,
,2,25,,1,,,,,1,,,,,1,,
,2,26,1,,,,,,1,,,,1,,,
,2,27,1,,,,,,1,,,,1,,,
,2,28,,,1,,,,,1,,,,1,,
,2,29,,,1,,,,,1,,,1,,,
,2,30,,,1,,,,,1,,,,1,,
,2,31,,,1,,,,,1,,,1,,,
,2,32,,,1,,,,1,,,,1,,,
,2,33,,,,1,,,,1,,,,1,,
,2,34,,1,,,,,,1,,,1,,,
,2,35,,,1,,,,,1,,,1,,,
,3,1,,,1,,,,,1,,,,1,,
,3,2,,,,1,,,1,,,,,1,,
,3,3,,,1,,,,,1,,,,1,,
,3,4,,,,1,,,,1,,,,1,,
,3,5,,,1,,,,1,,,,1,,,
,3,6,,,,1,,,1,,,,,1,,
,3,7,,,1,,,,1,,,,,1,,
,3,8,,1,,,,,1,,,,,1,,
,3,9,,,1,,,,,1,,,1,,,
,3,10,,,1,,,,1,,,,,1,,
,3,11,,,,1,,,1,,,,,1,,
,3,12,,1,,,,,1,,,,,1,,
,3,13,,,1,,,,1,,,,,1,,
,3,14,,,,1,,,1,,,,,1,,
,3,15,,1,,,,,,1,,,,1,,
,3,16,,,1,,,,1,,,,1,,,
,3,17,1,,,,,,,1,,,,1,,
,3,18,1,,,,,,1,,,,,1,,
,3,19,,,1,,,,1,,,,,1,,
,3,20,,1,,,,,1,,,,,1,,
,3,21,,,1,,,,1,,,,1,,,
,3,22,,,1,,,,1,,,,,1,,
,3,23,1,,,,,,1,,,,,1,,
,3,24,,,,1,,,1,,,,,1,,
,3,25,,,1,,,,,1,,,,1,,
,3,26,1,,,,,,1,,,,1,,,
,3,27,1,,,,,,1,,,,,1,,
,3,28,,1,,,,,,1,,,,1,,
